Season,Players,Type,Sold Price,Team,Overseas,Mat,Inns,No,Runs,Ave,BF,SR,Wickets
2020,Aaron Finch,BAT,4.4,Royal Challengers Bangalore,1,12,12,0,268,22.33,241,111.2,0
2022,Aaron Finch,BAT,1.5,Kolkata Knight Riders,1,5,5,0,86,17.2,61,140.98,
2021,AB de Villiers,BAT,11,Royal Challengers Bangalore,1,15,14,4,313,31.3,211,148.34,0
2020,AB de Villiers,BAT,11,Royal Challengers Bangalore,1,15,14,4,454,45.4,286,158.74,0
2023,Abdul Basith,AR,0.2,Rajasthan Royals,,1,1,1,1,1,1,100,0
2024,Abdul Samad,AR,4,Sunrisers Hyderabad,,12,7,3,182,20.25,108,168.51,0
2023,Abdul Samad,AR,4,Sunrisers Hyderabad,,8,12,2,169,18.2,128,132.03,0
2022,Abdul Samad,AR,4,Sunrisers Hyderabad,,2,8,4,4,42.25,7,57.14,0
2021,Abdul Samad,AR,0.2,Sunrisers Hyderabad,,10,2,0,111,2,87,127.58,1
2020,Abdul Samad,AR,0.2,Sunrisers Hyderabad,,8,10,1,111,12.33,65,170.76,1
2022,Abhijeet Tomar,BAT,0.4,Kolkata Knight Riders,,1,1,0,4,4,8,50,0
2024,Abhinav Manohar,BAT,2.6,Gujarat Titans,,2,2,0,9,4.5,16,56.25,0
2023,Abhinav Manohar,BAT,2.6,Gujarat Titans,,9,6,0,114,19,83,137.34,0
2022,Abhinav Manohar,BAT,2.6,Gujarat Titans,,8,7,1,108,18,75,144,0
2024,Abhishek Sharma,AR,6.5,Sunrisers Hyderabad,,16,16,1,484,32.26,237,204.21,2
2023,Abhishek Sharma,AR,6.5,Sunrisers Hyderabad,,11,11,0,226,20.54,157,143.94,2
2022,Abhishek Sharma,AR,6.5,Sunrisers Hyderabad,,14,14,0,426,30.42,320,133.12,0
2021,Abhishek Sharma,AR,0.55,Sunrisers Hyderabad,,8,7,1,98,16.33,75,130.66,4
2020,Abhishek Sharma,AR,0.55,Sunrisers Hyderabad,,3,7,2,71,14.2,56,126.78,2
2024,Abid Mushtaq,AR,0.2,Rajasthan Royals,,0,0,0,0,0,0,0,0
2024,Abishek Porel,BAT/WK,0.2,Delhi Capitals,,14,12,2,327,32.7,205,159.51,
2022,Adam Milne,BOW,1.9,Chennai Super Kings,1,1,-,-,0,0,0,0,0
2021,Adam Milne,BOW,3.2,Mumbai Indians,1,4,3,1,16,8,17,94.11,3
2023,Adam Zampa,BOW,1.5,Rajasthan Royals,1,6,3,0,10,3.33,16,62.5,8
2021,Adam Zampa,BOW,1.5,Royal Challengers Bangalore,1,3,0,0,0,0,0,0,2
2023,Adil Rashid,BOW,2,Sunrisers Hyderabad,1,2,2,0,22,11,16,137.5,2
2021,Aditya Tare,BAT/WK,0.2,Mumbai Indians,,0,0,0,0,0,0,0,0
2020,Aditya Tare,BAT/WK,0.2,Mumbai Indians,,0,0,0,0,0,0,0,0
2024,Aiden Markram,BAT,2.6,Sunrisers Hyderabad,1,11,11,2,220,24.44,177,124.29,0
2023,Aiden Markram,BAT,2.6,Sunrisers Hyderabad,1,13,13,2,248,22.44,197,125.88,1
2022,Aiden Markram,BAT,2.6,Sunrisers Hyderabad,1,14,12,4,381,47.62,274,139.05,1
2024,Ajay Mandal,AR,0.2,Chennai Super Kings,,0,0,0,0,0,0,0,0
2023,Ajay Mandal,AR,0.2,Chennai Super Kings,,0,0,0,0,0,0,0,0
2024,Ajinkya Rahane,BAT,0.5,Chennai Super Kings,,13,12,0,242,20.16,189,123.46,0
2023,Ajinkya Rahane,BAT,0.5,Chennai Super Kings,,14,11,1,326,32.6,128,172.48,0
2022,Ajinkya Rahane,BAT,1,Kolkata Knight Riders,,7,7,0,133,19,8,103.9,0
2021,Ajinkya Rahane,BAT,5.25,Delhi Capitals ,,2,1,0,8,8,107,100,0
2020,Ajinkya Rahane,BAT,5.25,Delhi Capitals ,,9,8,0,113,14.12,285,105.6,0
2024,Akash Deep,BOW,0.2,Royal Challengers Bangalore,,1,1,1,2,0,2,100,1
2023,Akash Deep,BOW,0.2,Royal Challengers Bangalore,,2,1,0,17,17,8,212.5,1
2022,Akash Deep,BOW,0.2,Royal Challengers Bangalore,,5,1,0,0,0,2,0,5
2024,Akash Madhwal,BOW,0.2,Mumbai Indians,,5,1,1,4,,5,80,5
2023,Akash Madhwal,BOW,0.2,Mumbai Indians,,8,0,0,0,0,0,0,14
2024,Akash Singh,BOW,0.2,Sunrisers Hyderabad,,0,0,0,0,0,0,0,0
2021,Akash Singh,BOW,0.2,Rajasthan Royals,,1,0,0,0,0,0,0,0
2020,Akash Singh,BOW,0.2,Rajasthan Royals,,0,0,0,0,0,0,0,0
2023,Akash Vashisht,AR,0.2,Rajasthan Royals,,0,0,0,0,0,0,0,0
2023,Akeal Hosein,BOW,1,Sunrisers Hyderabad,1,1,1,1,16,16,10,160,1
2020,Alex Carey,BAT/WK,2.4,Delhi Capitals ,1,3,3,1,32,16,29,110.34,0
2022,Alex Hales,BAT,1.5,Kolkata Knight Riders,1,0,0,0,0,0,0,0,0
2024,Alzarri Joseph,BOW,11.5,Royal Challengers Bangalore,1,3,0,0,0,0,0,0,1
2023,Alzarri Joseph,BOW,2.4,Gujarat Titans,1,7,2,2,7,-,12,58.33,7
2022,Alzarri Joseph,BOW,2.4,Gujarat Titans,1,9,3,2,5,5,7,71.42,7
2023,Aman Khan,AR,0.2, Delhi Capitals,,11,9,1,110,13.75,101,108.91,0
2022,Aman Khan,AR,0.2,Kolkata Knight Riders,,1,1,0,5,5,3,166.66,0
2023,Ambati Rayudu,BAT/WK,6.75,Chennai Super Kings,,16,12,2,158,15.8,113,139.82,0
2022,Ambati Rayudu,BAT/WK,6.75,Chennai Super Kings,,13,11,0,274,24.9,224,122.32,0
2021,Ambati Rayudu,BAT/WK,2.2,Chennai Super Kings,,16,13,4,257,28.55,170,151.17,0
2020,Ambati Rayudu,BAT/WK,2.2,Chennai Super Kings,,12,11,2,359,39.88,282,127.3,0
2024,Amit Mishra,BOW,0.5,Lucknow Super Giants,,1,-,-,-,-,-,-,1
2023,Amit Mishra,BOW,0.5,Lucknow Super Giants,,7,1,0,19,19,30,63.33,7
2021,Amit Mishra,BOW,4,Delhi Capitals ,,4,-,-,-,-,-,-,6
2020,Amit Mishra,BOW,4,Delhi Capitals ,,3,-,-,-,-,-,-,3
2024,Andre Russell,AR,16,Kolkata Knight Riders,1,15,9,2,222,31.71,120,185,19
2023,Andre Russell,AR,16,Kolkata Knight Riders,1,14,14,3,227,20.63,156,145.51,7
